Dstat 0.7.0 CSV output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,,,,,,,,,,,,,,,,
Host:,server.local,,,,User:,root,,,,,,,,,,,,,,,,,,,,,,,,
Cmdline:,dstat -Tcdilmnprsy --proc-count --output /tmp/dstat_Tcdilmnprsy_proc_server.local_20180317_214611.csv 1 86400,,,,Date:,17 Mar 2018 21:46:11 GMT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,total cpu usage,,,,,,dsk/total,,interrupts,,,load avg,,,memory usage,,,,net/total,,procs,,,io/total,,swap,,system,,procs
1521323201.489,6.218,12.279,67.172,13.352,0,0.979,512000,80193536,1671,1637,1382,12.46,17.34,20.27,15605002240,5779456,224611106816,30570196992,26139387,16830143,17,6,32,16,2128,0,34357637120,70410,190986,1867
1521323202.489,9.062,10.42,60.152,19.166,0,1.2,1310720,91879424,1793,1797,1299,12.46,17.34,20.27,15906000896,5779456,224633008128,30247297024,57965352,51617631,13,3,64,26,2929,0,34357637120,72638,182502,1883
1521323203.489,6.767,2.518,84.923,5.571,0,0.22,147456,27181056,317,419,257,12.46,17.34,20.27,15560912896,5779456,224638242816,30587150336,24644421,28207289,0,1,64,3,699,0,34357637120,24011,50667,1867
1521323204.489,2.134,8.098,88.261,1.13,0,0.377,0,2039808,481,519,416,11.46,17.06,20.16,15643537408,5779456,224639168512,30503600128,13010627,8869654,0,0,0,0,101,0,34357637120,27804,60660,1851
1521323205.489,1.884,3.046,94.692,0.031,0,0.345,4096,47731200,537,559,437,11.46,17.06,20.16,15772868608,5779456,224640372736,30373064704,13277530,10429771,0,1,96,1,1208,0,34357637120,25819,56901,1891
1521323206.489,10.003,19.438,61.25,8.047,0,1.262,0,44801536,1777,1868,1295,11.46,17.06,20.16,15683096576,5779456,224645623808,30457585664,63388585,58940026,11,2,16,0,1046,0,34357637120,75338,218453,1851
1521323207.489,8.178,3.347,85.317,2.084,0.032,1.042,0,3274240,1146,1116,820,11.46,17.06,20.16,15094595584,5787648,224647094272,31044608000,146276841,212200588,1,0,16,0,135,0,34357637120,49267,41405,1787
1521323208.489,4.75,2.328,89.556,3.114,0,0.252,1028096,39249920,608,672,301,11.46,17.06,20.16,15144505344,5787648,224661942272,30979850240,50430490,48290706,2,2,16,27,923,0,34357637120,26847,47299,1795
1521323209.489,6.38,6.285,85.952,1.069,0,0.314,1822720,21927936,414,565,301,10.7,16.81,20.07,16162258944,5787648,224668696576,29955342336,21800826,21288987,5,0,720,40,329,0,34357637120,28600,58734,2155
1521323210.489,28.203,36.52,29.796,0.51,0,4.971,14790656,43114496,4499,4391,3473,10.7,16.81,20.07,17783480320,5787648,224696958976,28305858560,98584488,73465193,86,0,16,198,210,0,34357637120,192158,506232,2155
1521323211.489,28.361,29.609,35.435,0.864,0,5.73,18776064,33813504,5932,5603,4561,10.7,16.81,20.07,18075328512,5787648,224727724032,27983245312,100112423,94757489,0,0,64,260,718,0,34357637120,220528,521633,2123
1521323212.489,14.634,15.743,68.008,0.443,0,1.172,172032,48162816,1214,1242,1115,10.7,16.81,20.07,17556918272,5787648,224738697216,28490682368,54055581,36020799,1,0,17,51,1643,0,34357637120,66570,167457,1964
1521323213.489,4.259,8.58,85.931,0.694,0,0.536,4169728,40491008,721,712,626,10.7,16.81,20.07,15350480896,5795840,224743559168,30692249600,28575942,21462999,11,1,238,63,1713,0,34357637120,39598,77932,1873
1521323214.489,14.037,11.603,71.42,1.423,0,1.518,20480,39856640,1556,1625,1013,9.85,16.53,19.96,15433322496,5795840,224757116928,30595850240,177213925,244731715,4,0,113,5,891,0,34357637120,63730,98629,1909
1521323215.489,12.219,19.753,64.672,0.696,0,2.659,12505088,36815872,2879,2676,2277,9.85,16.53,19.96,15915704320,5795840,224771100672,30099484672,96025490,101067305,14,1,264,183,1241,0,34357637120,115852,253531,2003
1521323216.489,13.053,24.905,58.881,0.917,0.032,2.212,929792,28233216,3217,2536,2059,9.85,16.53,19.96,17093107712,5795840,224776957952,28916224000,68970991,41384088,26,2,60,17,1147,0,34357637120,113545,358134,2013
1521323217.489,18.75,18.877,58.09,1.047,0,3.236,241664,73895424,3407,3252,2654,9.85,16.53,19.96,15289122816,5795840,224786984960,30710181888,66657045,60258641,7,0,240,8,1727,0,34357637120,136106,327139,1893
1521323218.489,19.212,26.262,51.127,0.318,0,3.08,2273280,29611008,3712,3522,2698,9.85,16.53,19.96,16482508800,5804032,224798142464,29505630208,93861727,74689497,61,0,315,36,387,0,34357637120,143258,384033,2020
1521323219.489,11.785,18.901,65.216,1.302,0,2.795,12288,61865472,2979,2717,2396,9.06,16.25,19.85,16347328512,5804032,224808435712,29630517248,58478119,53319234,25,0,5,3,1688,0,34357637120,119033,362105,1949
1521323220.489,12.095,20.635,65.365,0.095,0,1.81,327680,22318592,2077,1897,1560,9.06,16.25,19.85,15186132992,5804032,224812183552,30787964928,82105117,63414885,12,0,74,10,910,0,34357637120,88565,260826,1805
1521323221.489,13.734,10.728,73.418,0.063,0,2.057,0,16073216,2218,2124,1594,9.06,16.25,19.85,15788183552,5804032,224816844800,30181253120,153170007,200334190,6,1,358,0,657,0,34357637120,87436,164471,1973
1521323222.489,6.961,4.913,87.118,0.283,0,0.724,53248,36321280,806,838,619,9.06,16.25,19.85,16241692672,5804032,224809394176,29735194624,54294489,60390032,14,0,302,13,891,0,34357637120,39366,72245,2131
1521323223.489,21.673,34.663,39.77,0.255,0,3.639,2359296,22042624,4225,3955,3330,9.06,16.25,19.85,18148184064,5804032,224815321088,27822776320,64181082,52047727,10,0,1094,35,313,0,34357637120,172744,473198,2616
1521323224.489,32.136,33.598,28.862,0.381,0.032,4.99,2359296,39214080,4996,4766,3876,12.18,16.78,20,19050504192,5812224,224823951360,26911817728,100751424,74316642,117,3,487,51,978,0,34357637120,204473,476691,2755
1521323225.489,28.184,27.833,29.939,8.841,0,5.203,94720000,77660160,4782,4773,3744,12.18,16.78,20,18464686080,5812224,224936615936,27384971264,103693135,95204865,5,4,60,545,2041,0,34357637120,194646,481209,2614
1521323226.489,8.225,15.973,59.416,14.671,0,1.715,32718848,28468224,2107,2064,1695,12.18,16.78,20,18098794496,5812224,224988188672,27699290112,37314788,43884700,0,5,64,237,870,0,34357637120,92776,258619,2566
1521323227.489,12.476,20.139,58.613,7.125,0,1.647,44662784,59558912,1945,2054,1448,12.18,16.78,20,17395134464,5812224,225024905216,28366233600,72692596,55026502,49,4,80,233,3222,0,34357637120,90320,233412,2486
1521323228.489,22.07,17.102,49.65,7.293,0.032,3.854,22286336,49529856,3865,3554,2868,12.18,16.78,20,17528700928,5812224,225048051712,28209520640,202734725,236838584,9,3,210,189,1997,0,34357637120,144861,264593,2553
1521323229.488,6.698,8.626,81.738,2.117,0,0.821,1818624,6055424,1018,1045,901,11.52,16.57,19.92,17296097280,5820416,225049591808,28440576000,29782395,19111861,3,0,46,11,248,0,34357637120,51035,121524,2541
1521323230.489,10.596,22.335,60.057,4.632,0,2.379,892928,31640064,3016,2892,2423,11.52,16.57,19.92,17943289856,5820416,225052770304,27790204928,53578993,35023592,18,7,16,23,2240,0,34357637120,122453,351994,2525
1521323231.489,6.582,6.582,76.582,9.494,0,0.759,1441792,38155776,939,922,684,11.52,16.57,19.92,17956745216,5820416,225063170048,27766349824,45387455,36888587,33,0,331,24,1185,0,34357637120,47957,104213,2644
1521323232.489,19.167,25.429,53.051,0.286,0,2.066,4489216,14833152,2348,2473,1658,11.52,16.57,19.92,19003084800,5820416,225074782208,26708398080,96693305,82140122,40,2,341,115,494,0,34357637120,104833,333395,2741
1521323233.489,29.562,38.063,24.385,0.607,0,7.383,2600960,89542656,6341,5938,4931,11.52,16.57,19.92,19257987072,5820416,225091936256,26436341760,113274355,83160479,95,3,51,32,1320,0,34357637120,251301,594093,2510
1521323234.489,18.234,24.841,54.543,0.064,0,2.319,393216,9444864,2275,2394,1866,13.64,16.92,20.01,19514417152,5820416,225096404992,26175442944,52183458,92053195,48,2,125,7,369,0,34357637120,107794,220606,2252
1521323235.489,21.099,22.339,52.494,0.604,0.032,3.432,3211264,42236416,3439,3410,2594,13.64,16.92,20.01,17138528256,5828608,225124253696,28523474944,161147713,138401748,2,0,86,66,1226,0,34357637120,135999,353160,1969
1521323236.489,8.506,16.088,69.64,3.982,0,1.784,262144,99466240,2326,2275,1823,13.64,16.92,20.01,16280809472,5828608,225127673856,29377773568,49526539,32748034,8,9,42,3,2482,0,34357637120,97367,261865,1885
1521323237.489,14.503,12.286,66.656,4.243,0,2.312,12288,49861632,2581,2453,1987,13.64,16.92,20.01,15590129664,5828608,225133465600,30062661632,155065454,201681400,17,1,240,3,1674,0,34357637120,104441,219508,1901
1521323238.489,11.936,17.43,68.582,0.632,0,1.421,0,32806912,1959,1805,1550,13.64,16.92,20.01,16337698816,5828608,225134477312,29314080768,68189756,74531392,32,1,292,0,845,0,34357637120,80331,174262,2050
1521323239.489,21.36,29.688,43.897,0.826,0,4.228,5349376,30594048,4335,4309,3593,16.55,17.47,20.17,17423953920,5828608,225149444096,28212858880,91982606,73899008,36,0,220,130,661,0,34357637120,170942,443250,2125
1521323240.489,21.522,28.686,45.091,0.224,0.032,4.445,2490368,30645760,5075,4572,3925,16.55,17.47,20.17,17249468416,5828608,225156972544,28379815936,75112405,69105731,27,0,112,71,742,0,34357637120,193327,544525,2077
1521323241.489,20.698,18.127,57.968,0.381,0,2.825,5242880,21765120,3301,3416,2545,16.55,17.47,20.17,17228705792,5836800,225180295168,28377247744,109323929,95960702,6,0,0,99,261,0,34357637120,130640,296687,2021
1521323242.489,3.129,5.815,90.487,0,0,0.569,24576,65663488,921,843,692,16.55,17.47,20.17,17298731008,5836800,225181540352,28305977344,11875318,12017643,2,0,0,6,1327,0,34357637120,41286,127242,1997
1521323243.489,1.919,6.983,88.676,2.013,0,0.409,1163264,80073216,304,345,262,16.55,17.47,20.17,14948618240,5836800,225183145984,30654484480,26682117,25687338,0,1,176,21,2436,0,34357637120,22393,32403,1837
1521323244.489,7.439,15.575,74.865,0.601,0,1.519,1183744,19913728,1990,1873,1465,15.79,17.3,20.1,15271333888,5836800,225185173504,30329741312,38481967,30840104,12,0,47,34,672,0,34357637120,82192,234875,1848
1521323245.489,8.549,19.274,70.063,0.789,0,1.325,19660800,11388928,1649,1704,1317,15.79,17.3,20.1,15822053376,5836800,225206226944,29757968384,38550029,27608146,28,0,290,227,419,0,34357637120,79553,244187,1917
1521323246.489,10.49,17.419,68.722,0.826,0,2.543,8667136,22967808,3097,2832,2414,15.79,17.3,20.1,15564554240,5836800,225218543616,30003150848,42334242,39053257,6,0,0,264,575,0,34357637120,115817,331654,1847
1521323247.489,2.233,3.68,92.796,0.975,0,0.315,4096,18381824,526,471,364,15.79,17.3,20.1,15304609792,5844992,225218805760,30262824960,12332392,7429957,10,0,16,1,846,0,34357637120,26868,75994,1813
1521323248.489,3.549,3.109,92.399,0.66,0,0.283,1642496,36903424,502,516,277,15.79,17.3,20.1,14776401920,5844992,225221926912,30787911680,22535892,23197760,11,1,0,50,1013,0,34357637120,24477,51487,1749
1521323249.489,7.026,14.115,76.223,1.819,0,0.816,1175552,58574336,880,878,704,18.77,17.89,20.28,15763324928,5844992,225225138176,29797777408,37723679,26032469,69,1,464,27,1772,0,34357637120,50806,120335,1957
1521323250.489,20.917,30.086,43.712,0.287,0,4.998,4292608,36288512,5605,4844,3918,18.77,17.89,20.28,16387268608,5844992,225238978560,29159993344,80169929,98589172,1,0,16,54,408,0,34357637120,197285,495436,1933
1521323251.488,2.076,3.24,92.985,1.541,0,0.157,0,58334208,836,112,92,18.77,17.89,20.28,16577597440,5844992,225241866240,28966776832,16854473,15601376,0,0,336,0,1791,0,34357637120,16493,27146,2069
1521323252.489,14.587,33.099,48.069,0.415,0.032,3.798,2293760,33308672,4356,3955,3323,18.77,17.89,20.28,16069935104,5844992,225246855168,29469450240,72832440,63095226,10,0,32,51,825,0,34357637120,166225,448613,1917
1521323253.489,4.096,5.419,83.711,6.27,0,0.504,8192,60461568,600,636,533,18.77,17.89,20.28,15795634176,5853184,225250316288,29740281856,12270204,10656758,0,1,160,2,1962,0,34357637120,33158,79932,1935
1521323254.489,23.146,21.348,47.384,3.981,0,4.141,0,53421568,4844,3911,3198,18.31,17.81,20.24,16722763776,5853184,225330311168,28733157376,445996107,540963714,26,1,112,0,1581,0,34357637120,172983,232123,1957
1521323255.488,24.015,10.297,60.749,1.711,0,3.228,139264,41372160,3989,3664,2903,18.31,17.81,20.24,16872140800,5853184,225816698880,28097392640,438838110,391425821,13,2,0,3,1378,0,34357637120,153247,203744,1957
1521323256.489,27.177,14.917,43.982,8.515,0,5.41,5427200,52372480,4333,4128,3336,18.31,17.81,20.24,17126457344,5853184,226120904704,27538870272,434022402,370002917,24,19,7,154,2346,0,34357637120,165225,257476,1946
1521323257.489,19.034,14.491,49.424,14.619,0.032,2.399,4358144,15702528,2935,2652,2521,18.31,17.81,20.24,16781709312,5853184,226447278080,27557244928,237175973,210327446,7,4,18,108,669,0,34357637120,116534,247119,1901
1521323258.489,10.086,12.695,74.578,1.145,0,1.495,98304,8902656,2896,2517,2279,18.31,17.81,20.24,16559226880,5853184,226471018496,27755986944,48952199,178210389,16,1,16,3,157,0,34357637120,105051,213933,1869
1521323259.489,28.617,27.164,37.776,3.443,0,3.001,507904,70064128,2993,3202,2327,25.81,19.37,20.73,16749510656,5861376,226291331072,27745382400,178727217,136070344,6,3,80,35,1931,0,34357637120,133429,248519,1845
1521323260.489,15.117,18.121,62.524,2.467,0,1.771,8192,33166336,2417,2308,1832,25.81,19.37,20.73,16384217088,5861376,225425584128,28976422912,45604675,59104839,1,0,16,1,1596,0,34357637120,100873,241457,1837
1521323261.489,5.475,5.475,87.067,1.573,0,0.409,90112,41965568,549,582,669,25.81,19.37,20.73,16129982464,5861376,225252757504,29403484160,41382316,11585371,7,0,112,19,2324,0,34357637120,33095,49664,1877
1521323262.489,10.472,18.616,68.208,1.101,0,1.604,286720,27373568,2373,2344,1761,25.81,19.37,20.73,16603725824,5861376,225255424000,28927074304,40180350,41985850,4,0,160,11,879,0,34357637120,89046,223168,1933
1521323263.489,8.714,15.621,73.004,1.077,0,1.584,6828032,32538624,2218,2037,1635,25.81,19.37,20.73,17051615232,5861376,225265614848,28468994048,63423995,46969786,1,0,16,112,763,0,34357637120,88580,257446,1933
1521323264.489,4.266,1.286,93.946,0,0,0.502,0,1268224,435,473,298,23.74,19.05,20.62,16948334592,5861376,225281589248,28556300288,29324527,23779946,2,0,23,0,27,0,34357637120,24833,26143,1938
1521323265.489,10.035,9.28,77.729,2.642,0,0.315,1429504,81559552,473,372,188,23.74,19.05,20.62,17394139136,5869568,225287106560,28104970240,49026961,44034842,23,0,281,45,2026,0,34357637120,27019,37643,1933
1521323266.489,22.137,30.121,43.448,0.413,0.032,3.849,6123520,42695680,3831,3903,2978,23.74,19.05,20.62,18694004736,5869568,225302028288,26790182912,98696711,65998597,30,1,240,73,999,0,34357637120,160435,430393,2005
1521323267.489,12.253,22.438,51.305,11.489,0,2.514,3776512,60346368,2963,2735,2369,23.74,19.05,20.62,18018353152,5869568,225314320384,27453542400,65007390,52979872,2,5,61,80,1021,0,34357637120,119531,360636,1996
1521323268.489,6.679,16.005,70.699,5.734,0,0.882,13574144,30023168,1070,1099,921,23.74,19.05,20.62,16294846464,5869568,225326964736,29164404736,49124488,37011423,52,0,147,160,931,0,34357637120,58693,152626,1877
1521323269.489,9.975,11.944,74.873,0.762,0.032,2.414,1015808,29002240,2542,2366,2064,21.84,18.73,20.51,16430125056,5869568,225335873536,29020217344,58408958,54305299,0,0,16,17,355,0,34357637120,96790,264627,1877
1521323270.489,3.955,7.219,88.073,0.345,0,0.408,1970176,37713920,482,504,429,21.84,18.73,20.51,15079510016,5877760,225339731968,30366965760,26772991,24646152,0,0,352,45,1357,0,34357637120,27821,62747,1877
1521323271.489,16.603,32.377,46.526,0.287,0,4.207,10391552,31705088,4394,4107,3579,21.84,18.73,20.51,16092909568,5877760,225356894208,29336403968,104744189,94777477,0,0,16,129,515,0,34357637120,170832,458196,1877
1521323272.489,8.727,13.296,75.488,2.079,0,0.41,22462464,54801920,577,567,376,21.84,18.73,20.51,16016113664,5877760,225383288832,29386805248,52268564,53427515,0,0,0,152,1018,0,34357637120,38137,107319,1821
1521323273.489,4.014,4.61,84.666,6.46,0,0.251,1228800,61828096,193,211,129,21.84,18.73,20.51,15671517184,5877760,225386176512,29728514048,23391170,12340197,0,4,352,27,1617,0,34357637120,17467,25662,1909
1521323274.489,20.076,35.118,36.743,3.442,0,4.621,13275136,38420480,5137,4805,3807,23.13,19.05,20.6,16565293056,5877760,225405030400,28815884288,114299184,95374116,5,4,0,378,767,0,34357637120,193362,530570,1869
1521323275.489,16.619,2.801,78.974,0.724,0,0.881,2883584,39395328,894,794,652,23.13,19.05,20.6,15924133888,5877760,225436725248,29425348608,75147919,100109600,3,0,16,79,346,0,34357637120,42461,61381,1821
1521323276.489,10.744,9.83,75.898,3.119,0,0.41,1941504,77522432,653,602,342,23.13,19.05,20.6,15907667968,5885952,225452478464,29426053120,45922319,50878385,15,7,208,22,1672,0,34357637120,37883,94949,1837
1521323277.489,11.263,14.879,70.527,0.984,0.032,2.316,1855488,35801088,2824,2617,2183,23.13,19.05,20.6,15706271744,5885952,225459109888,29620817920,75178325,71451256,9,0,43,32,496,0,34357637120,107078,288744,1805
1521323278.489,8.583,16.22,73.588,0.095,0,1.515,249856,41068032,1871,1761,1434,23.13,19.05,20.6,15875526656,5885952,225461899264,29448773632,71847328,58922790,27,0,197,34,1316,0,34357637120,76910,217366,1837
1521323279.489,10.685,10.151,78.096,0,0,1.069,0,8790016,1399,1625,841,21.68,18.82,20.52,16093863936,5885952,225477091328,29215244288,122203414,95695451,10,0,16,0,109,0,34357637120,53746,134596,1829
1521323280.489,37.54,10.911,49.051,0.063,0,2.435,0,28221440,2782,2944,1977,21.68,18.82,20.52,16297693184,5885952,225479184384,29009321984,205470732,207340384,13,0,304,0,1402,0,34357637120,114906,130309,1917
1521323281.489,32.669,30.009,31.687,0.222,0,5.413,475136,130969600,5300,5119,3910,21.68,18.82,20.52,16858726400,5885952,225536450560,28391022592,222984113,175124181,86,4,131,18,1132,0,34357637120,207985,379094,1957
1521323282.489,25.759,23.323,47.88,0.411,0,2.627,602112,102361600,2643,2702,1969,21.68,18.82,20.52,17590304768,5894144,225596977152,27598909440,117598805,136132417,16,0,423,17,1029,0,34357637120,111553,322163,2092
1521323283.489,26.011,33.906,29.163,5.317,0.032,5.571,32026624,80348160,5420,5010,4133,21.68,18.82,20.52,17372790784,5894144,225637613568,27775787008,80562044,70970092,3,8,899,550,1646,0,34357637120,214005,443651,2343
1521323284.489,17.963,20.335,52.562,7.052,0,2.087,80576512,15096320,2510,2510,1947,22.91,19.12,20.61,17362165760,5894144,225766334464,27657691136,69273393,53540556,40,4,675,549,758,0,34357637120,109805,261759,2581
1521323285.489,37.105,25.081,32.27,1.515,0,4.03,82587648,92610560,4265,4234,2812,22.91,19.12,20.61,17938345984,5894144,225831141376,27016704000,320820675,339095823,7,0,64,481,486,0,34357637120,166612,338454,2565
1521323286.489,1.424,1.55,95.539,1.297,0,0.19,36864,46801920,278,255,220,22.91,19.12,20.61,17893670912,5894144,225832718336,27059802112,42399476,30975744,0,1,0,10,1725,0,34357637120,25813,28982,2557
1521323287.489,6.423,3.526,85.39,4.219,0,0.441,57344,21193216,603,653,505,22.91,19.12,20.61,17372786688,5894144,225833447424,27579957248,26359417,22706588,13,0,212,13,1849,0,34357637120,35316,41994,2581
1521323288.489,14.609,23.923,58.565,0.383,0.032,2.488,1155072,28680192,2815,2746,2239,22.91,19.12,20.61,18379280384,5902336,225844994048,26561908736,62666501,50360973,29,0,124,16,835,0,34357637120,121022,341759,2637
1521323289.489,20.057,25.638,49.362,1.403,0,3.54,16384,39646208,3468,3524,2646,21.23,18.84,20.51,19131252736,5902336,225856679936,25798250496,77799601,105854889,6,0,16,4,903,0,34357637120,137565,304828,2581
